6 ; temperature ; 22.06 ; °C
60 ; temperature ; 22.30 ; °C
120 ; temperature ; 22.54 ; °C
180 ; temperature ; 22.70 ; °C
240 ; temperature ; 22.86 ; °C
300 ; temperature ; 22.94 ; °C
360 ; temperature ; 23.10 ; °C
420 ; temperature ; 23.26 ; °C
480 ; temperature ; 23.34 ; °C
540 ; temperature ; 23.50 ; °C
600 ; temperature ; 23.66 ; °C
660 ; temperature ; 23.83 ; °C
720 ; temperature ; 23.91 ; °C
780 ; temperature ; 24.07 ; °C
840 ; temperature ; 24.23 ; °C
900 ; temperature ; 24.31 ; °C
960 ; temperature ; 24.47 ; °C
1020 ; temperature ; 24.55 ; °C
1080 ; temperature ; 24.72 ; °C
1140 ; temperature ; 24.88 ; °C
1200 ; temperature ; 24.96 ; °C
1260 ; temperature ; 25.04 ; °C
1320 ; temperature ; 25.20 ; °C
1380 ; temperature ; 25.28 ; °C
1440 ; temperature ; 25.45 ; °C
1500 ; temperature ; 25.53 ; °C
1560 ; temperature ; 25.61 ; °C
1620 ; temperature ; 25.69 ; °C
1680 ; temperature ; 25.86 ; °C
1740 ; temperature ; 25.94 ; °C
1800 ; temperature ; 26.02 ; °C
1860 ; temperature ; 26.10 ; °C
1920 ; temperature ; 26.27 ; °C
1980 ; temperature ; 26.35 ; °C
2040 ; temperature ; 26.43 ; °C
2101 ; temperature ; 26.51 ; °C
2160 ; temperature ; 26.59 ; °C
2198 ; capteur   3 ; 60.46 ; mm
2220 ; temperature ; 26.68 ; °C
2246 ; capteur   2 ; 73.34 ; mm
2258 ; capteur   3 ; 60.70 ; mm
2280 ; temperature ; 26.84 ; °C
2306 ; capteur   2 ; 72.62 ; mm
2318 ; capteur   3 ; 60.44 ; mm
2340 ; temperature ; 26.92 ; °C
2366 ; capteur   2 ; 73.26 ; mm
2378 ; capteur   3 ; 60.30 ; mm
2400 ; temperature ; 27.01 ; °C
2426 ; capteur   2 ; 73.48 ; mm
2438 ; capteur   3 ; 60.58 ; mm
2449 ; capteur   4 ; 66.28 ; mm
2460 ; temperature ; 27.09 ; °C
2486 ; capteur   2 ; 72.32 ; mm
2498 ; capteur   3 ; 60.70 ; mm
2510 ; capteur   4 ; 67.38 ; mm
2520 ; temperature ; 27.17 ; °C
2534 ; capteur   1 ; 68.30 ; mm
2546 ; capteur   2 ; 73.08 ; mm
2558 ; capteur   3 ; 60.16 ; mm
2569 ; capteur   4 ; 66.98 ; mm
2580 ; temperature ; 27.25 ; °C
2594 ; capteur   1 ; 68.24 ; mm
2606 ; capteur   2 ; 73.84 ; mm
2618 ; capteur   3 ; 60.06 ; mm
2630 ; capteur   4 ; 66.82 ; mm
2640 ; temperature ; 27.34 ; °C
2654 ; capteur   1 ; 69.24 ; mm
2666 ; capteur   2 ; 73.38 ; mm
2678 ; capteur   3 ; 61.34 ; mm
2689 ; capteur   4 ; 66.78 ; mm
2700 ; temperature ; 27.42 ; °C
2714 ; capteur   1 ; 68.74 ; mm
2726 ; capteur   2 ; 73.10 ; mm
2738 ; capteur   3 ; 60.60 ; mm
2750 ; capteur   4 ; 66.86 ; mm
2760 ; temperature ; 27.50 ; °C
2774 ; capteur   1 ; 68.60 ; mm
2786 ; capteur   2 ; 73.06 ; mm
2798 ; capteur   3 ; 60.68 ; mm
2809 ; capteur   4 ; 67.14 ; mm
2820 ; temperature ; 27.59 ; °C
2833 ; capteur   1 ; 68.72 ; mm
